,p_val,avg_log2FC,pct.1,pct.2,p_val_adj,cluster,gene
1,0,4.576655846,0.864,0.199,0,2,Esi2023femaleGene12720
2,0,2.098966966,0.642,0.121,0,2,Esi2023femaleGene33657
3,0,1.870974344,0.743,0.069,0,2,Esi2023femaleGene12721
4,0,1.698200064,0.977,0.767,0,2,Esi2023femaleGene17110
5,0,1.325081905,0.844,0.571,0,2,Esi2023femaleGene08111
6,0,1.26404117,0.698,0.17,0,2,Esi2023femaleGene14124
7,0,1.226498689,0.627,0.207,0,2,Esi2023femaleGene07247
8,0,1.174557182,0.514,0.094,0,2,Esi2023femaleGene07534
9,0,1.093110916,0.545,0.049,0,2,Esi2023femaleGene02556
10,0,1.077521295,0.567,0.189,0,2,Esi2023femaleGene24890
11,0,1.027582715,0.718,0.411,0,2,Esi2023femaleGene15557
12,0,1.008938427,0.582,0.238,0,2,Esi2023femaleGene11278
13,0,0.964557891,0.849,0.549,0,2,Esi2023femaleGene15574
14,0,0.957620847,0.627,0.205,0,2,Esi2023femaleGene17408
15,0,0.926113306,0.748,0.394,0,2,Esi2023femaleGene07190
16,0,0.921187254,0.875,0.432,0,2,Esi2023femaleGene24857
17,0,0.895603309,0.777,0.45,0,2,Esi2023femaleGene13734
18,0,0.89433326,0.521,0.163,0,2,Esi2023femaleGene12303
19,0,0.888698336,0.696,0.336,0,2,Esi2023femaleGene25413
20,0,0.882622842,0.887,0.538,0,2,Esi2023femaleGene21264
21,0,0.864962598,0.904,0.617,0,2,Esi2023femaleGene22506
22,0,0.848530503,0.96,0.791,0,2,Esi2023femaleGene32060
23,0,0.783251676,0.567,0.197,0,2,Esi2023femaleGene10633
24,0,0.747632423,0.581,0.269,0,2,Esi2023femaleGene16722
25,0,0.741262902,0.557,0.169,0,2,Esi2023femaleGene00943
26,0,0.729969079,0.605,0.217,0,2,Esi2023femaleGene25372
27,0,0.71349471,0.907,0.685,0,2,Esi2023femaleGene10746
28,0,0.699279803,0.881,0.638,0,2,Esi2023femaleGene23334
29,0,0.663782619,0.793,0.466,0,2,Esi2023femaleGene33777
30,0,0.654482831,0.887,0.62,0,2,Esi2023femaleGene19709
31,0,0.646308399,0.642,0.263,0,2,Esi2023femaleGene18956
32,0,0.641691888,0.53,0.205,0,2,Esi2023femaleGene28593
33,0,0.632445244,0.965,0.847,0,2,Esi2023femaleGene32063
34,0,0.627329073,0.89,0.683,0,2,Esi2023femaleGene17818
35,0,0.615135576,0.658,0.36,0,2,Esi2023femaleGene31547
36,0,0.60890821,0.869,0.622,0,2,Esi2023femaleGene26310
37,0,0.605655441,0.618,0.253,0,2,Esi2023femaleGene27246
38,0,0.603586296,0.958,0.814,0,2,Esi2023femaleGene15194
39,0,0.600035519,0.973,0.838,0,2,Esi2023femaleGene27779
40,0,0.592839987,0.88,0.63,0,2,Esi2023femaleGene03026
41,0,0.587730022,0.842,0.293,0,2,Esi2023femaleGene20946
42,0,0.583630548,0.899,0.681,0,2,Esi2023femaleGene05923
43,0,0.582074767,0.942,0.777,0,2,Esi2023femaleGene11500
44,0,0.579071737,0.754,0.425,0,2,Esi2023femaleGene21438
45,0,0.565815325,0.913,0.69,0,2,Esi2023femaleGene17425
46,0,0.564614007,0.911,0.777,0,2,Esi2023femaleGene28810
47,0,0.560795554,0.934,0.758,0,2,Esi2023femaleGene13093
48,0,0.556946039,0.904,0.692,0,2,Esi2023femaleGene33395
49,0,0.548437085,0.888,0.661,0,2,Esi2023femaleGene02831
50,0,0.544760019,0.547,0.216,0,2,Esi2023femaleGene05857
51,0,0.54152415,0.604,0.313,0,2,Esi2023femaleGene16887
52,0,0.532443665,0.901,0.69,0,2,Esi2023femaleGene21400
53,0,0.526061556,0.844,0.558,0,2,Esi2023femaleGene33509
54,0,0.524724591,0.902,0.719,0,2,Esi2023femaleGene19861
55,0,0.522882678,0.894,0.685,0,2,Esi2023femaleGene00276
56,0,0.522119337,0.882,0.656,0,2,Esi2023femaleGene08665
57,0,0.520599225,0.876,0.644,0,2,Esi2023femaleGene16761
58,0,0.515994675,0.876,0.695,0,2,Esi2023femaleGene34164
59,0,0.510998608,0.766,0.469,0,2,Esi2023femaleGene23314
60,0,0.506839492,0.691,0.42,0,2,Esi2023femaleGene15528
61,0,0.503742539,0.717,0.421,0,2,Esi2023femaleGene15498
62,0,0.50067267,0.92,0.729,0,2,Esi2023femaleGene22751
63,0,0.500563419,0.887,0.678,0,2,Esi2023femaleGene30495
